,_id,description,Bert_Label,Flair_Label,BL_Label,CE_Label,BLTC_Label,Expert1,Expert2,Expert3,Final_Label
11,CVE-2021-27790,"The command ipfilter in Brocade Fabric OS before Brocade Fabric OS v.9.0.1a, v8.2.3, and v8.2.0_CBN4, and v7.4.2h uses unsafe string function to process user input. Authenticated attackers can abuse this vulnerability to exploit stack-based buffer overflows, allowing execution of arbitrary code as the root user account.",server-side request forgery,code injection,privilege escalation,buffer overflow,privilege escalation,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
12,CVE-1999-0767,"Buffer overflow in Solaris libc, ufsrestore, and rcp via LC_MESSAGES environmental variable.",buffer overflow,system misconfiguration,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
13,CVE-2018-21215,"Certain NETGEAR devices are affected by a buffer overflow by an unauthenticated attacker. This affects D3600 before 1.0.0.67, D6000 before 1.0.0.67, D6100 before 1.0.0.56, EX2700 before 1.0.1.28, R7500v2 before 1.0.3.24, R9000 before 1.0.2.52, WN2000RPTv3 before 1.0.1.20, WN3000RPv3 before 1.0.2.50, and WN3100RPv2 before 1.0.0.56.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
14,CVE-2020-10071,"The Zephyr MQTT parsing code performs insufficient checking of the length field on publish messages, allowing a buffer overflow and potentially remote code execution. NCC-ZEP-031 This issue affects: zephyrproject-rtos zephyr version 2.2.0 and later versions.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
15,CVE-2020-23332,A heap-based buffer overflow exists in the AP4_StdcFileByteStream::ReadPartial component located in /StdC/Ap4StdCFileByteStream.cpp of Bento4 version 06c39d9. This issue can lead to a denial of service (DOS).,buffer overflow,No Label,buffer overflow,buffer overflow,buffer overflow,"Buffer Overflow, Denial of Service","Buffer Overflow, Availability, DOS",Buffer Overflow,buffer overflow
16,CVE-2017-5097,Insufficient validation of untrusted input in Skia in Google Chrome prior to 60.0.3112.78 for Linux allowed a remote attacker to perform an out of bounds memory read via a crafted HTML page.,disabling security tools,code injection,memory based attack,memory based attack,memory based attack,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
17,CVE-2017-5062,"A use after free in Chrome Apps in Google Chrome prior to 58.0.3029.81 for Mac, Windows, and Linux, and 58.0.3029.83 for Android, allowed a remote attacker to potentially perform out of bounds memory access via a crafted Chrome extension.",drive-by download attack,code injection,unauthorized access,memory based attack,unauthorized access,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
18,CVE-2021-20349,"IBM Tivoli Workload Scheduler 9.4 and 9.5 is vulnerable to a stack-based buffer overflow, caused by improper bounds checking. A local attacker could overflow a buffer and gain lower level privileges. IBM X-Force ID: 194599.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
19,CVE-2009-1546,"Integer overflow in Avifil32.dll in the Windows Media file handling functionality in Microsoft Windows allows remote attackers to execute arbitrary code on a Windows 2000 SP4 system via a crafted AVI file, or cause a denial of service on a Windows XP SP2 or SP3, Server 2003 SP2, Vista Gold, SP1, or SP2, or Server 2008 Gold or SP2 system via a crafted AVI file, aka ""AVI Integer Overflow Vulnerability.""",server-side request forgery,code injection,denial of service,denial of service,denial of service,"Buffer Overflow, Denial of Service","Buffer Overflow, DOS",Buffer Overflow,denial of service
20,CVE-2004-0288,Buffer overflow in the UdmDocToTextBuf function in mnoGoSearch 3.2.13 through 3.2.15 could allow remote attackers to execute arbitrary code by indexing a large document.,server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
21,CVE-2012-0916,"Heap-based buffer overflow in RenRen Talk 2.9 allows remote attackers to execute arbitrary code via a crafted image in a chat message, as demonstrated using a PNG file.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
22,CVE-2004-1371,Stack-based buffer overflow in Oracle 9i and 10g allows remote attackers to execute arbitrary code via a long token in the text of a wrapped procedure.,server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
23,CVE-2014-9264,Stack-based buffer overflow in the .NET Data Provider in SAP SQL Anywhere allows remote attackers to execute arbitrary code via a crafted column alias.,web session cookie,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
24,CVE-2010-4069,"Stack-based buffer overflow in IBM Informix Dynamic Server (IDS) 7.x through 7.31, 9.x through 9.40, 10.00 before 10.00.xC10, 11.10 before 11.10.xC3, and 11.50 before 11.50.xC3 allows remote authenticated users to execute arbitrary code via long DBINFO keyword arguments in a SQL statement, aka idsdb00165017, idsdb00165019, idsdb00165021, idsdb00165022, and idsdb00165023.",server-side request forgery,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,"Buffer Overflow, Code Injection",Buffer Overflow,buffer overflow
25,CVE-2007-3984,Buffer overflow in a certain ActiveX control in the NixonMyPrograms class in sasatl.dll 1.5.0.531 in Zenturi ProgramChecker allows remote attackers to execute arbitrary code via a long argument to the Scan method. NOTE: this is probably a different issue than CVE-2007-2987.,memory based attack,buffer overflow,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
26,CVE-2002-1127,Buffer overflow in uucp in Compaq Tru64/OSF1 3.x allows local users to execute arbitrary code via a long source (-s) command line parameter.,buffer overflow,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
27,CVE-2007-1320,"Multiple heap-based buffer overflows in the cirrus_invalidate_region function in the Cirrus VGA extension in QEMU 0.8.2, as used in Xen and possibly other products, might allow local users to execute arbitrary code via unspecified vectors related to ""attempting to mark non-existent regions as dirty,"" aka the ""bitblt"" heap overflow.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
28,CVE-2018-13676,"The mintToken function of a smart contract implementation for Orderbook Presale Token (OBP), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",web session cookie,No Label,unauthorized access,unauthorized access,unauthorized access,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
29,CVE-2006-4305,Buffer overflow in SAP DB and MaxDB before 7.6.00.30 allows remote attackers to execute arbitrary code via a long database name when connecting via a WebDBM client.,web session cookie,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
30,CVE-2003-1374,Buffer overflow in disable of HP-UX 11.0 may allow local users to execute arbitrary code via a long argument to the (1) -r or (2)-c options.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
31,CVE-2017-6843,Heap-based buffer overflow in the PoDoFo::PdfVariant::DelayedLoad function in PdfVariant.h in PoDoFo 0.9.4 allows remote attackers to have unspecified impact via a crafted file.,memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
32,CVE-2006-0813,Heap-based buffer overflow in WinACE 2.60 allows user-assisted attackers to execute arbitrary code via a large header block in an ARJ archive.,memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
33,CVE-2005-2340,"Heap-based buffer overflow in Apple Quicktime before 7.0.4 allows remote attackers to execute arbitrary code via a crafted (1) QuickTime Image File (QTIF), (2) PICT, or (3) JPEG format image with a long data field.",memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
34,CVE-2009-0323,"Multiple stack-based buffer overflows in W3C Amaya Web Browser 10.0 and 11.0 allow remote attackers to execute arbitrary code via (1) a long type parameter in an input tag, which is not properly handled by the EndOfXmlAttributeValue function; (2) an ""HTML GI"" in a start tag, which is not properly handled by the ProcessStartGI function; and unspecified vectors in (3) html2thot.c and (4) xml2thot.c, related to the msgBuffer variable. NOTE: these are different vectors than CVE-2008-6005.",memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
35,CVE-2013-0003,"Buffer overflow in a System.DirectoryServices.Protocols (S.DS.P) namespace method in Microsoft .NET Framework 2.0 SP2, 3.0 SP2, 3.5, 3.5.1, 4, and 4.5 allows remote attackers to execute arbitrary code via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application that leverages a missing array-size check during a memory copy operation, aka ""S.DS.P Buffer Overflow Vulnerability.""",memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
36,CVE-2021-22894,A buffer overflow vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to execute arbitrary code as the root user via maliciously crafted meeting room.,server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
37,CVE-2005-2213,Buffer overflow in the mms_interp_header function in mms.c in MMS Ripper before 0.6.4 might allow remote attackers to execute arbitrary code via a file with more than 20 streams.,buffer overflow,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
38,CVE-1999-0247,Buffer overflow in nnrpd program in INN up to version 1.6 allows remote users to execute arbitrary commands.,memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
39,CVE-2019-9766,"Stack-based buffer overflow in Free MP3 CD Ripper 2.6, when converting a file, allows user-assisted remote attackers to execute arbitrary code via a crafted .mp3 file.",drive-by download attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
40,CVE-2002-0231,Buffer overflow in mIRC 5.91 and earlier allows a remote server to execute arbitrary code on the client via a long nickname.,server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
41,CVE-2007-4607,"Buffer overflow in the EasyMailSMTPObj ActiveX control in emsmtp.dll 6.0.1 in the Quiksoft EasyMail SMTP Object, as used in Postcast Server Pro 3.0.61 and other products, allows remote attackers to execute arbitrary code via a long argument to the SubmitToExpress method, a different vulnerability than CVE-2007-1029. NOTE: this may have been fixed in version 6.0.3.15.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
42,CVE-2010-1185,"Stack-based buffer overflow in serv.exe in SAP MaxDB 7.4.3.32, and 7.6.0.37 through 7.6.06 allows remote attackers to execute arbitrary code via an invalid length parameter in a handshake packet to TCP port 7210. NOTE: some of these details are obtained from third party information.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
43,CVE-2005-4459,"Heap-based buffer overflow in the NAT networking components vmnat.exe and vmnet-natd in VMWare Workstation 5.5, GSX Server 3.2, ACE 1.0.1, and Player 1.0 allows remote authenticated attackers, including guests, to execute arbitrary code via crafted (1) EPRT and (2) PORT FTP commands.",server-side request forgery,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
44,CVE-2007-3231,Buffer overflow in MeCab before 0.96 has unknown impact and attack vectors.,buffer overflow,unknown attack,unknown attack,buffer overflow,unknown attack,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
45,CVE-2020-25199,A heap-based buffer overflow vulnerability exists within the WECON LeviStudioU Release Build 2019-09-21 and prior when processing project files. Opening a specially crafted project file could allow an attacker to exploit and execute code under the privileges of the application.,web session cookie,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
46,CVE-2012-1947,"Heap-based buffer overflow in the utf16_to_isolatin1 function in Mozilla Firefox 4.x through 12.0, Firefox ESR 10.x before 10.0.5, Thunderbird 5.0 through 12.0, Thunderbird ESR 10.x before 10.0.5, and SeaMonkey before 2.10 allows remote attackers to execute arbitrary code via vectors that trigger a character-set conversion failure.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
47,CVE-2008-0098,"Buffer overflow in RealPlayer 11 build 6.0.14.748 allows remote attackers to execute arbitrary code via unspecified vectors. NOTE: As of 20080103, this disclosure has no actionable information. However, because the VulnDisco Pack author is a reliable researcher, the issue is being assigned a CVE identifier for tracking purposes.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
48,CVE-2006-0598,"Buffer overflow in elogd.c in elog before 2.5.7 r1558-4 allows attackers to execute code via unspecified variables, when writing to the log file.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
49,CVE-2002-0033,Heap-based buffer overflow in cfsd_calloc function of Solaris cachefsd allows remote attackers to execute arbitrary code via a request with a long directory and cache name.,memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
50,CVE-2001-0029,Buffer overflow in oops WWW proxy server 1.4.6 (and possibly other versions) allows remote attackers to execute arbitrary commands via a long host or domain name that is obtained from a reverse DNS lookup.,server-side request forgery,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
51,CVE-2007-2864,Stack-based buffer overflow in the Anti-Virus engine before content update 30.6 in multiple CA (formerly Computer Associates) products allows remote attackers to execute arbitrary code via a large invalid value of the coffFiles field in a .CAB file.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
52,CVE-2010-4596,"Stack-based buffer overflow in RealNetworks Helix Server 12.x, 13.x, and 14.x before 14.2, and Helix Mobile Server 12.x, 13.x, and 14.x before 14.2, allows remote attackers to execute arbitrary code via a long string in an RTSP request.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
53,CVE-2009-2140,"Multiple heap-based buffer overflows in cppcanvas/source/mtfrenderer/emfplus.cxx in Go-oo 2.x and 3.x before 3.0.1, previously named ooo-build and related to OpenOffice.org (OOo), allow remote attackers to execute arbitrary code via a crafted EMF+ file, a similar issue to CVE-2008-2238.",memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
54,CVE-2009-3849,"Multiple stack-based buffer overflows in HP OpenView Network Node Manager (OV NNM) 7.01, 7.51, and 7.53 allow remote attackers to execute arbitrary code via (1) a long Template parameter to nnmRptConfig.exe, related to the strcat function; or (2) a long Oid parameter to snmp.exe.",server-side request forgery,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
55,CVE-2005-2040,"Multiple buffer overflows in the getterminaltype function in telnetd for Heimdal before 0.6.5 may allow remote attackers to execute arbitrary code, a different vulnerability than CVE-2005-0468 and CVE-2005-0469.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
56,CVE-2005-4873,"Multiple stack-based buffer overflows in the phpcups PHP module for CUPS 1.1.23rc1 might allow context-dependent attackers to execute arbitrary code via vectors that result in long function parameters, as demonstrated by the cups_get_dest_options function in phpcups.c.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
57,CVE-2008-1922,"Multiple stack-based buffer overflows in Sarg might allow attackers to execute arbitrary code via unknown vectors, probably a crafted Squid log file.",memory based attack,code injection,unknown attack,buffer overflow,unknown attack,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
58,CVE-2007-0754,Heap-based buffer overflow in Apple QuickTime before 7.1.3 allows user-assisted remote attackers to execute arbitrary code via a crafted Sample Table Sample Descriptor (STSD) atom size in a QuickTime movie.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
59,CVE-2012-4708,Stack-based buffer overflow in 3S CODESYS Gateway-Server before 2.3.9.27 allows remote attackers to execute arbitrary code via a crafted packet.,server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
60,CVE-2008-4132,Stack-based buffer overflow in the VSFlexGrid.VSFlexGridL ActiveX control in ComponentOne VSFlexGrid 7.0.1.151 and 8.0.20072.239 allows remote attackers to execute arbitrary code via a long first argument to the Archive method. NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,server-side request forgery,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
61,CVE-2005-3092,Heap-based buffer overflow in Image-Line Software FL Studio 5.0.1 allows remote attackers to execute arbitrary code via a .flp file that contains a long path to a (1) .mid or (2) .wav file.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
62,CVE-2007-5116,Buffer overflow in the polymorphic opcode support in the Regular Expression Engine (regcomp.c) in Perl 5.8 allows context-dependent attackers to execute arbitrary code by switching from byte to Unicode (UTF) characters in a regular expression.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
63,CVE-2011-1731,"Stack-based buffer overflow in OmniInet.exe in the Backup Client Service in HP OpenView Storage Data Protector 6.00, 6.10, and 6.11 allows remote attackers to execute arbitrary code via a malformed EXEC_INTEGUTIL message.",server-side request forgery,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
64,CVE-2004-0402,"Buffer overflow in xpcd-svga in xpcd before 2.08, and possibly other versions, may allow local users to execute arbitrary code.",memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
65,CVE-2007-4033,Buffer overflow in the intT1_EnvGetCompletePath function in lib/t1lib/t1env.c in t1lib 5.1.1 allows context-dependent attackers to execute arbitrary code via a long FileName parameter. NOTE: this issue was originally reported to be in the imagepsloadfont function in php_gd2.dll in the gd (PHP_GD2) extension in PHP 5.2.3.,buffer overflow,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
66,CVE-2008-5381,Buffer overflow in the URL processing in ffdshow (aka ffdshow-tryout) before SVN revision 2347 allows remote attackers to execute arbitrary code via a long URL.,memory based attack,No Label,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
67,CVE-2015-2052,Stack-based buffer overflow in the DIR-645 Wired/Wireless Router Rev. Ax with firmware 1.04b12 and earlier allows remote attackers to execute arbitrary code via a long string in a GetDeviceSettings action to the HNAP interface.,memory based attack,buffer overflow,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
68,CVE-2005-3483,Buffer overflow in GO-Global for Windows 3.1.0.3270 and earlier allows remote attackers to execute arbitrary code via a data block that is longer than the specified data block size.,memory based attack,code injection,buffer overflow,buffer overflow,buffer overflow,Buffer Overflow,Buffer Overflow,Buffer Overflow,buffer overflow
69,CVE-2015-0437,"Unspecified vulnerability in Oracle Java SE 8u25 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Hotspot.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
70,CVE-2013-5893,"Unspecified vulnerability in Oracle Java SE 7u45 and Java SE Embedded 7u45, and OpenJDK 7, allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Libraries. NOTE: the previous information is from the January 2014 CPU. Oracle has not commented on third-party claims that the issue is related to improper handling of methods in MethodHandles in HotSpot JVM, which allows attackers to escape the sandbox.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
71,CVE-2020-14645,"Vulnerability in the Oracle WebLogic Server product of Oracle Fusion Middleware (component: Core). Supported versions that are affected are 10.3.6.0.0, 12.1.3.0.0, 12.2.1.3.0, 12.2.1.4.0 and 14.1.1.0.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via IIOP, T3 to compromise Oracle WebLogic Server. Successful attacks of this vulnerability can result in takeover of Oracle WebLogic Server. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H).",server-side request forgery,No Label,unauthorized access,unauthorized access,unauthorized access,Unauthorized Access,Unauthorized Access,Unauthorized Access,unauthorized access
72,CVE-2016-5447,"Unspecified vulnerability in the ILOM component in Oracle Sun Systems Products Suite 3.0, 3.1, and 3.2 allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors.",unauthorized access,code injection,unknown attack,system misconfiguration,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
73,CVE-2014-4219,"Unspecified vulnerability in Oracle Java SE 6u75, 7u60, and 8u5 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Hotspot.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
74,CVE-2013-5775,"Unspecified vulnerability in the Java SE and JavaFX components in Oracle Java SE 7u40 and earlier and JavaFX 2.2.40 and earlier allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors, a different vulnerability than CVE-2013-5777.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
75,CVE-2020-2696,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Common Desktop Environment). The supported version that is affected is 10. Easily exploitable vulnerability allows low privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris. While the vulnerability is in Oracle Solaris, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.0 Base Score 8.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H).",spyware,No Label,unauthorized access,sensitive data exposure,unauthorized access,Unauthorized Access,Unauthorized Access,Unauthorized Access,unauthorized access
76,CVE-2020-2944,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Common Desktop Environment). Supported versions that are affected are 10 and 11. Easily exploitable vulnerability allows low privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris. While the vulnerability is in Oracle Solaris, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.0 Base Score 8.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H).",spyware,No Label,unauthorized access,sensitive data exposure,unauthorized access,Unauthorized Access,Unauthorized Access,Unauthorized Access,unauthorized access
77,CVE-2014-6537,"Unspecified vulnerability in the Java VM component in Oracle Database Server 11.1.0.7, 11.2.0.3, 11.2.0.4, 12.1.0.1, and 12.1.0.2 allows remote authenticated users to affect confidentiality, integrity, and availability via unknown vectors.",server-side request forgery,code injection,unknown attack,unauthorized access,unknown attack,Unknown Attack,Unknown Attack,Unknown Attack,unknown attack
